CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade SUS por Município e Ano/mês compet.
Leitos complementares: UTI adulto II COVID-19
Período:2020-2022
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev"
"355280 TABOAO DA SERRA";10;10;10;10;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;-;-
"355370 TAQUARITINGA";-;-;-;-;-;5;5;5;-;5;5;5;5;5;5;5;5;5;5;5;5;-;-
"355380 TAQUARITUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;-;-
"355400 TATUI";-;-;-;5;10;10;10;5;-;-;5;10;10;10;15;15;15;15;15;8;8;8;8
"355410 TAUBATE";10;10;10;10;10;10;10;10;20;20;20;50;50;54;54;54;54;20;20;15;15;10;10
"355500 TUPA";-;-;-;-;-;-;-;15;15;-;15;15;15;15;15;15;25;25;15;15;15;10;10
"355540 UBATUBA";-;10;10;10;10;-;-;-;-;-;-;5;10;10;10;10;10;10;10;10;5;5;5
"355620 VALINHOS";-;-;-;8;8;17;17;9;-;9;8;8;8;8;8;8;8;8;8;8;4;6;6
"355670 VINHEDO";-;-;-;-;-;5;5;5;5;5;-;5;5;5;5;5;5;5;5;5;5;5;5
"355700 VOTORANTIM";-;-;-;-;-;5;7;7;7;5;-;7;7;9;9;9;14;14;14;10;10;5;5
"355710 VOTUPORANGA";-;-;-;-;6;14;14;14;8;8;8;16;19;19;19;19;19;19;19;10;10;-;-
"410140 APUCARANA";-;6;6;6;14;10;4;-;10;10;10;20;20;20;20;20;23;23;23;23;23;23;23
"410150 ARAPONGAS";-;20;20;20;-;-;10;10;10;-;27;50;60;60;60;66;66;66;66;30;30;30;30
"410200 ASSIS CHATEAUBRIAND";-;10;10;14;14;14;14;14;14;14;14;28;28;28;28;28;28;28;28;28;28;28;28
"410240 BANDEIRANTES";-;-;-;-;-;-;-;-;-;-;-;-;7;7;10;10;10;10;10;10;10;10;10
"410370 CAMBE";-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5
"410400 CAMPINA GRANDE DO SUL";-;-;-;-;-;-;-;-;-;-;-;-;-;20;20;20;20;20;20;20;20;20;20
"410420 CAMPO LARGO";-;-;-;-;-;-;-;-;-;-;-;-;52;52;52;57;57;57;57;57;57;57;57
"410430 CAMPO MOURAO";-;-;9;9;9;9;9;9;9;9;5;19;24;24;25;29;29;29;29;29;29;29;29
"410480 CASCAVEL";-;10;10;20;20;34;34;29;29;29;29;90;110;110;110;110;110;110;110;60;50;50;50
"410540 CHOPINZINHO";-;-;-;-;10;10;10;-;-;10;-;10;10;10;10;13;13;13;13;13;13;13;13
"410550 CIANORTE";-;6;6;6;6;-;-;-;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"410590 COLORADO";-;10;10;10;10;10;-;-;7;7;7;20;20;20;20;20;20;20;20;10;10;10;10
"410640 CORNELIO PROCOPIO";-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;5
"410690 CURITIBA";10;206;206;312;312;282;278;278;359;347;331;510;510;510;530;530;530;530;399;251;201;157;157
"410720 DOIS VIZINHOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8;8;8;8;8;8;8
"410830 FOZ DO IGUACU";-;17;17;17;30;17;30;40;40;30;40;60;70;70;70;70;70;70;70;70;70;70;70
"410840 FRANCISCO BELTRAO";-;10;10;10;10;10;10;10;10;10;10;24;24;24;24;33;33;33;33;22;22;22;22
"410860 GOIOERE";-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;13;13;10;10;10;10
"410940 GUARAPUAVA";-;10;10;10;10;-;-;-;-;-;20;20;30;40;40;45;45;45;45;40;40;40;40
"411070 IRATI";-;-;-;-;-;-;-;-;-;-;-;7;12;12;12;12;12;12;12;12;12;12;12
"411320 LAPA";-;-;-;-;-;-;-;-;-;-;-;-;-;6;7;9;9;9;9;9;9;9;9
"411330 LARANJEIRAS DO SUL";-;-;-;-;10;10;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"411370 LONDRINA";10;36;36;36;46;36;46;66;66;66;66;66;66;106;106;106;106;106;106;106;106;106;106
"411520 MARINGA";10;10;30;40;40;40;50;45;40;40;40;51;51;51;51;51;51;51;51;35;35;35;35
"411580 MEDIANEIRA";-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;-;-;-
"411605 MISSAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;-;-;-
"411670 NOVA AURORA";-;-;-;-;-;-;-;-;-;-;-;-;6;6;10;10;10;10;10;10;10;10;10
"411760 PALMAS";-;-;-;-;-;-;-;-;-;-;-;10;13;13;13;13;13;13;13;5;5;5;5
"411790 PALOTINA";-;-;-;-;-;-;-;-;-;-;-;-;8;10;10;10;10;10;10;10;10;10;10
"411820 PARANAGUA";-;-;-;-;-;10;10;10;10;10;10;30;35;35;35;35;35;35;35;12;12;12;12
"411840 PARANAVAI";-;-;-;-;-;-;-;-;-;-;-;20;20;20;20;20;20;20;20;20;20;20;20
"411850 PATO BRANCO";-;-;-;7;12;12;5;-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"411990 PONTA GROSSA";-;10;10;10;10;10;30;30;30;10;30;38;38;48;48;48;48;48;48;23;23;23;23
"412410 SANTO ANTONIO DA PLATINA";-;-;-;-;-;-;-;10;10;10;10;15;15;15;15;15;15;15;15;15;15;15;15
"412550 SAO JOSE DOS PINHAIS";-;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"412625 SARANDI";-;12;12;12;12;12;-;-;9;9;9;45;48;48;48;48;48;48;48;34;34;34;34
"412710 TELEMACO BORBA";-;-;-;-;-;-;-;20;-;20;20;30;38;38;43;43;43;43;43;41;41;41;41
"412770 TOLEDO";-;16;16;16;16;16;16;16;16;-;16;24;24;24;24;24;24;24;24;24;24;24;24
"412810 UMUARAMA";-;10;10;10;10;10;-;-;10;10;10;27;37;37;37;37;37;37;37;10;10;10;10
"412820 UNIAO DA VITORIA";-;-;-;-;-;-;-;-;-;-;-;8;8;8;8;8;8;8;8;4;4;4;4
"420140 ARARANGUA";-;10;10;10;10;-;-;10;20;20;20;20;20;40;40;40;40;40;40;40;40;40;10
"420200 BALNEARIO CAMBORIU";-;9;20;20;20;11;19;19;19;9;10;10;10;21;21;21;21;21;21;21;20;20;20
"420230 BIGUACU";-;-;-;-;-;-;-;-;10;10;20;-;10;10;10;10;10;10;10;10;10;10;10
"420240 BLUMENAU";26;26;26;31;66;61;56;46;36;-;16;71;71;61;61;61;61;61;61;20;20;20;20
"420290 BRUSQUE";-;-;-;10;10;10;22;22;22;22;-;22;22;22;22;22;22;22;22;22;22;22;22
"420300 CACADOR";-;10;10;10;10;-;-;-;10;10;10;12;12;20;20;20;20;20;20;20;20;20;20
"420360 CAMPOS NOVOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10
"420380 CANOINHAS";5;5;5;5;5;5;5;5;5;5;5;10;10;10;10;10;10;10;10;10;10;10;10
"420420 CHAPECO";10;10;30;30;30;20;5;40;40;5;35;90;102;102;102;102;80;80;80;60;60;40;40
"420430 CONCORDIA";5;16;16;16;11;-;5;5;15;10;15;16;16;16;16;16;16;16;16;10;10;10;10
"420460 CRICIUMA";15;15;25;35;35;20;15;15;25;10;25;25;45;55;55;55;55;55;35;35;35;35;35
"420480 CURITIBANOS";6;6;6;6;9;9;9;6;9;3;9;9;9;9;9;9;9;9;9;9;9;9;9
"420540 FLORIANOPOLIS";20;62;72;58;68;30;45;35;20;20;20;41;43;74;98;88;88;88;88;67;67;67;67
"420590 GASPAR";-;10;10;10;10;10;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;10;10
"420690 IBIRAMA";-;-;-;-;-;-;-;-;10;10;20;-;10;20;20;20;20;20;20;10;10;-;-
"420700 ICARA";-;-;-;-;-;-;10;10;10;-;10;10;10;10;10;10;10;10;10;10;10;10;10
"420730 IMBITUBA";-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"420750 INDAIAL";-;-;-;10;10;10;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20
"420820 ITAJAI";-;15;40;50;50;55;60;35;60;45;60;60;70;70;80;80;80;80;80;40;40;40;40
"420850 ITUPORANGA";-;-;-;-;-;-;-;-;-;5;5;5;5;6;6;6;6;6;6;-;-;-;-
"420890 JARAGUA DO SUL";10;10;10;-;-;-;10;10;10;-;15;15;15;25;25;25;30;30;30;30;30;30;30
"420900 JOACABA";-;6;10;10;10;10;10;10;10;4;6;10;10;15;15;15;15;15;15;15;15;15;15
"420910 JOINVILLE";-;47;57;67;77;77;45;35;38;30;59;75;75;137;137;137;137;137;137;116;106;96;96
"420930 LAGES";17;17;17;19;19;20;37;37;37;17;25;43;43;63;73;73;73;74;64;18;18;18;18
"420940 LAGUNA";-;-;-;-;-;-;-;10;10;10;-;10;10;10;10;10;10;10;10;10;10;10;10
"421010 MAFRA";14;14;14;14;-;-;14;14;14;-;14;14;14;24;24;24;24;24;24;24;24;24;24
"421150 NOVA TRENTO";-;-;-;-;-;-;-;10;10;-;-;5;5;15;15;15;15;15;15;15;15;15;15
"421480 RIO DO SUL";-;-;-;-;-;10;10;10;10;10;10;10;15;15;15;15;15;10;10;10;10;10;10
"421500 RIO NEGRINHO";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"421580 SAO BENTO DO SUL";-;-;-;-;5;5;5;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5
"421630 SAO JOAO BATISTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;-;-;-
"421660 SAO JOSE";-;19;-;19;19;5;5;9;9;9;9;33;33;47;47;47;47;47;47;47;33;-;-
"421720 SAO MIGUEL DO OESTE";-;6;6;18;18;18;18;5;6;6;6;18;18;20;20;20;20;20;20;20;20;20;20
"421770 SOMBRIO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10
"421820 TIMBO";12;19;29;29;17;17;-;-;29;29;29;-;-;29;29;29;29;29;29;29;29;29;29
"421870 TUBARAO";10;10;10;15;15;5;10;10;15;5;15;20;20;20;20;20;10;10;10;10;10;10;10
"421930 VIDEIRA";-;-;-;-;-;-;-;10;10;10;-;-;10;10;10;10;10;10;10;10;10;10;10
"421950 XANXERE";10;10;10;20;20;10;16;16;16;6;16;16;16;20;20;20;20;20;20;20;20;-;-
"430040 ALEGRETE";-;7;7;7;7;7;7;7;7;7;7;12;15;15;15;15;15;-;-;-;-;-;-
"430060 ALVORADA";-;-;-;-;-;-;-;-;-;-;-;-;-;6;6;6;6;6;6;6;6;6;6
"430160 BAGE";-;14;14;14;14;14;5;5;5;5;5;8;8;8;8;8;8;8;8;8;8;8;8
"430210 BENTO GONCALVES";-;-;5;10;10;10;10;5;10;10;10;10;10;10;10;10;10;10;10;5;5;5;5
"430300 CACHOEIRA DO SUL";-;8;8;8;8;-;5;5;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"430310 CACHOEIRINHA";-;-;-;-;-;-;6;6;8;2;8;14;14;14;14;14;14;14;14;14;14;14;14
"430350 CAMAQUA";-;-;-;-;-;-;10;10;10;-;10;14;14;14;14;14;14;14;14;14;14;14;14
"430390 CAMPO BOM";-;-;-;-;-;-;-;-;-;-;-;-;-;12;12;12;12;12;12;12;12;12;-
"430440 CANELA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;15;15;15;15;15;15;10;10
"430460 CANOAS";10;10;15;20;36;26;36;30;36;36;41;59;99;99;99;99;99;99;99;99;99;81;81
"430463 CAPAO DA CANOA";-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10
"430470 CARAZINHO";-;-;-;6;6;6;9;9;9;9;-;9;9;9;9;9;9;9;9;9;9;9;9
"430510 CAXIAS DO SUL";-;10;10;15;21;29;37;31;46;38;28;58;58;58;58;58;58;58;58;58;50;50;50
"430535 CHARQUEADAS";-;-;-;-;-;-;-;-;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20
"430610 CRUZ ALTA";-;10;10;10;-;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;20
"430660 DOM PEDRITO";-;10;10;10;-;-;10;10;10;-;10;10;10;10;10;10;10;10;10;10;10;10;10
"430680 ENCANTADO";-;-;5;5;5;-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"430700 ERECHIM";-;10;10;10;10;10;10;10;15;10;15;24;24;24;24;24;24;24;24;24;24;24;24
"430750 ESPUMOSO";-;-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"430770 ESTEIO";-;-;-;6;6;6;-;-;-;7;7;7;18;18;18;18;18;18;18;18;18;18;18
"430780 ESTRELA";-;10;10;10;10;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-
"430790 FARROUPILHA";-;-;5;5;5;5;8;8;8;8;10;10;15;15;15;15;15;15;15;15;15;15;15
"430800 FAXINAL DO SOTURNO";-;10;10;10;-;-;10;10;10;-;10;10;10;10;10;10;10;10;10;10;10;10;10
"430850 FREDERICO WESTPHALEN";-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;5
"430860 GARIBALDI";-;-;-;10;10;10;10;10;10;10;10;15;15;15;15;15;15;15;15;15;15;15;15
"430910 GRAMADO";-;-;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
"430920 GRAVATAI";-;-;-;-;-;10;10;10;10;10;-;20;20;16;16;16;16;16;16;16;16;8;8
"430930 GUAIBA";-;-;-;-;-;-;10;10;10;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"431010 IGREJINHA";-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"431020 IJUI";-;-;-;-;-;-;5;5;10;5;20;34;34;34;34;34;34;34;34;34;34;34;34
"431140 LAJEADO";-;10;10;10;-;10;10;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"431240 MONTENEGRO";-;-;-;-;-;-;6;6;6;-;6;6;10;10;10;10;10;10;10;10;10;10;10
"431340 NOVO HAMBURGO";-;-;-;-;-;5;5;5;8;8;8;25;25;25;25;25;25;25;25;25;25;25;25
"431350 OSORIO";10;10;10;10;10;10;10;10;10;10;20;30;30;30;30;30;30;30;30;30;30;30;30
"431370 PALMEIRA DAS MISSOES";-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10
"431390 PANAMBI";-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;-;-;-
"431405 PAROBE";-;-;-;-;-;10;10;10;22;22;22;43;43;43;43;43;43;43;43;43;43;33;33
"431410 PASSO FUNDO";10;23;43;43;53;53;43;33;43;43;43;58;58;58;58;58;58;58;58;58;58;58;58
"431440 PELOTAS";-;-;20;20;20;20;30;20;26;26;16;38;38;41;42;42;42;42;42;42;42;42;42
"431490 PORTO ALEGRE";-;48;233;233;215;209;213;213;228;198;223;414;472;472;535;525;462;358;326;277;277;225;225
"431530 QUARAI";-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5
"431560 RIO GRANDE";-;10;10;10;10;10;20;20;20;10;20;20;30;30;30;30;30;30;20;20;20;20;20
"431640 ROSARIO DO SUL";-;-;-;-;-;-;-;-;5;5;5;8;8;8;8;8;8;8;8;8;8;8;8
"431680 SANTA CRUZ DO SUL";-;10;15;25;25;25;15;15;20;20;20;20;20;20;20;20;20;20;20;12;12;15;15
"431690 SANTA MARIA";-;10;20;20;20;25;20;25;30;20;45;50;50;58;58;58;58;50;50;50;50;40;40
"431710 SANT'ANA DO LIVRAMENTO";-;-;-;-;-;-;-;-;-;-;-;-;-;6;10;10;10;10;10;10;10;10;10
"431720 SANTA ROSA";-;10;10;10;10;20;25;25;25;15;25;25;35;35;40;40;35;30;30;20;20;20;20
"431740 SANTIAGO";-;-;-;-;-;-;-;-;-;-;-;26;26;26;26;26;26;26;26;26;26;26;26
"431750 SANTO ANGELO";-;9;9;14;14;14;5;5;14;14;14;14;14;14;14;14;14;14;14;5;5;5;5
"431760 SANTO ANTONIO DA PATRULHA";-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;-;-;-;-;-
"431800 SAO BORJA";-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;-;-;-
"431830 SAO GABRIEL";-;-;5;5;5;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-
"431840 SAO JERONIMO";-;-;-;10;10;10;10;10;12;12;12;18;18;18;20;20;20;20;20;20;20;20;20
"431870 SAO LEOPOLDO";-;-;5;10;10;16;16;6;18;18;18;18;22;22;22;22;22;22;22;22;22;22;22
"431950 SAO SEBASTIAO DO CAI";-;-;5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"431990 SAPIRANGA";-;5;5;5;5;5;5;5;10;10;10;30;30;30;30;30;30;30;30;30;30;30;30
"432000 SAPUCAIA DO SUL";-;-;7;7;7;7;2;9;9;7;9;29;29;29;29;29;29;29;29;29;29;29;29
"432080 SOLEDADE";-;-;6;6;6;6;4;4;10;6;10;10;10;10;10;10;10;10;10;10;10;10;10
"432120 TAQUARA";-;-;-;-;-;-;-;-;5;5;11;26;26;26;26;26;26;18;18;18;18;18;18
"432130 TAQUARI";-;-;10;10;10;10;10;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"432140 TENENTE PORTELA";-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"432150 TORRES";-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"432160 TRAMANDAI";-;6;6;6;6;6;5;11;11;6;11;21;26;26;26;26;16;16;16;16;16;16;16
"432180 TRES DE MAIO";-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"432240 URUGUAIANA";-;-;-;8;8;8;8;8;10;10;10;12;10;10;10;10;10;10;10;10;10;10;10
"432250 VACARIA";-;-;-;8;8;8;-;-;-;-;8;8;8;8;8;8;8;8;8;8;8;8;8
"432260 VENANCIO AIRES";-;-;-;8;8;8;8;8;8;8;-;13;13;13;13;13;8;8;8;5;5;5;5
"432300 VIAMAO";-;10;10;10;10;10;10;10;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
"500060 AMAMBAI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;-;-
"500100 APARECIDA DO TABOADO";-;-;-;-;-;-;-;-;5;5;-;5;10;10;10;10;10;10;10;5;5;5;5
"500190 BATAGUASSU";-;5;5;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;-;-;-;-
"500270 CAMPO GRANDE";10;54;54;54;54;10;61;61;106;45;45;98;128;140;140;170;162;162;162;49;29;29;29
"500295 CHAPADAO DO SUL";-;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"500320 CORUMBA";-;10;10;10;17;17;17;7;7;7;-;17;17;17;17;17;17;17;17;10;10;10;10
"500325 COSTA RICA";-;7;7;7;7;7;7;7;7;7;7;7;7;10;10;10;10;10;10;5;5;5;5
"500330 COXIM";-;-;-;-;5;5;5;5;5;5;5;-;8;8;8;8;8;8;8;8;8;8;8
"500370 DOURADOS";-;20;30;30;15;-;5;5;15;10;26;26;31;36;55;55;55;55;55;45;15;5;5
"500500 JARDIM";-;-;-;-;-;-;-;-;-;-;-;-;6;6;6;6;6;6;6;6;-;-;-
"500570 NAVIRAI";-;-;-;-;5;5;5;10;10;-;-;10;10;10;15;15;15;15;15;5;-;-;-
"500620 NOVA ANDRADINA";-;-;8;8;-;-;-;8;8;8;8;8;8;8;8;8;8;8;8;-;-;-;-
"500630 PARANAIBA";-;10;10;10;10;-;-;-;-;-;5;10;10;10;10;10;10;10;10;10;10;10;10
"500660 PONTA PORA";-;10;10;10;20;10;10;20;10;10;10;30;30;30;40;40;40;40;40;10;10;10;10
"500790 SIDROLANDIA";5;5;5;5;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;-;-;-
"500830 TRES LAGOAS";10;10;10;10;30;30;30;-;5;5;5;5;25;25;25;25;25;25;25;10;10;10;10
"510020 AGUA BOA";-;-;-;-;-;-;-;6;6;-;-;6;10;10;10;10;10;10;-;10;4;-;-
"510025 ALTA FLORESTA";-;-;-;-;-;-;10;10;10;-;6;20;25;25;25;25;20;20;20;20;10;10;10
"510180 BARRA DO GARCAS";-;5;5;10;9;9;5;5;5;-;-;9;9;9;9;9;9;9;9;9;9;9;9
"510250 CACERES";-;5;5;5;10;10;5;15;5;-;5;10;10;10;10;10;10;10;10;10;10;10;10
"510267 CAMPO VERDE";-;-;-;-;-;-;-;10;10;10;-;10;10;15;15;15;15;15;15;-;10;-;-
"510340 CUIABA";-;78;128;78;160;120;120;40;30;10;5;160;168;208;208;208;188;188;188;188;138;48;48
"510515 JUINA";-;6;6;6;-;-;10;10;10;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"510525 LUCAS DO RIO VERDE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;-;-
"510622 NOVA MUTUM";-;-;-;-;-;-;20;20;20;-;-;30;30;35;35;35;35;35;35;35;10;10;10
"510642 PEIXOTO DE AZEVEDO";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"510704 PRIMAVERA DO LESTE";-;-;-;-;-;-;10;10;10;-;5;10;23;30;30;30;30;30;30;30;10;10;10
"510706 QUERENCIA";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"510760 RONDONOPOLIS";-;30;20;20;20;17;22;20;30;25;30;30;30;50;50;50;50;50;20;20;10;10;10
"510790 SINOP";-;20;20;20;20;9;24;19;15;15;-;19;29;29;14;29;29;29;29;29;29;9;9
"510792 SORRISO";-;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"510795 TANGARA DA SERRA";-;8;8;-;-;13;13;13;-;-;-;10;10;10;10;10;13;20;20;20;20;10;10
"510840 VARZEA GRANDE";-;30;30;40;40;10;30;20;50;-;30;80;100;119;119;109;119;109;109;109;109;20;20
"520110 ANAPOLIS";-;-;-;15;15;15;15;-;-;-;5;15;5;15;15;5;21;21;21;7;7;7;7
"520140 APARECIDA DE GOIANIA";30;30;30;40;40;40;10;55;35;35;30;143;143;193;193;193;193;193;193;193;158;158;93
"520510 CATALAO";12;12;12;12;12;8;20;13;13;13;20;20;20;13;13;13;13;13;13;13;8;8;8
"520800 FORMOSA";-;-;-;10;10;10;5;5;5;10;5;10;10;10;20;20;20;20;20;20;20;20;20
"520870 GOIANIA";52;72;72;98;121;221;221;264;168;168;145;431;431;431;431;431;456;456;456;430;248;214;164
"520890 GOIAS";-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5
"521150 ITUMBIARA";-;-;-;-;-;-;20;20;20;-;8;8;30;50;50;50;50;50;50;40;20;20;20
"521180 JARAGUA";-;-;-;-;-;-;-;10;10;10;-;10;10;10;10;10;10;10;10;10;10;10;10
"521190 JATAI";10;10;10;10;-;10;10;-;-;-;10;30;30;30;30;30;30;30;40;14;4;4;4
"521250 LUZIANIA";-;-;-;10;10;10;10;10;10;10;-;30;30;30;30;30;30;40;50;50;50;50;50
"521310 MINEIROS";-;-;-;-;-;10;10;10;10;5;5;10;10;10;10;10;10;10;10;-;-;-;-
"521800 PORANGATU";-;15;15;15;15;15;15;15;15;-;-;-;-;-;-;-;-;-;15;15;15;-;-
"521850 QUIRINOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;-;-;-
"521880 RIO VERDE";-;-;-;-;20;20;-;-;-;-;10;25;25;25;25;25;25;15;15;15;15;15;15
"521930 SANTA HELENA DE GOIAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;-;-;-
"522010 SAO LUIS DE MONTES BELOS";-;-;-;11;11;11;11;11;5;5;-;19;19;19;19;19;19;10;10;10;10;-;-
"522140 TRINDADE";-;-;-;6;6;6;6;-;-;-;-;10;10;10;10;10;10;10;10;10;10;-;-
"522160 URUACU";-;-;-;-;-;-;-;-;-;-;-;40;40;60;60;60;68;68;68;20;20;-;-
"530010 BRASILIA";70;175;175;165;105;15;85;95;137;67;77;159;185;228;228;228;111;73;73;50;39;39;39
"Total";2362;6669;8517;10228;9345;8160;7223;6941;8988;7885;9290;16357;21144;23876;25037;25324;24902;22819;21201;17391;15829;13562;13357
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 - Os dados relativos ao Cadastro Nacional de Estabelecimentos de Saúde (CNES) exibidos no TABNET referem-se aos registros constantes no Banco de Dados Nacional do CNES com status ATIVO.
 - A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
